#,Auto ID,County,District,Central site,Referral sites,Site Code,Distance* (KM),Type,On Treatment,On Care,Load,Total Equipment
1,1,Kiambu,Gatundu,Gatundu District Hospital,,10233,0,MoH,428,0,428,4
2,2,Kiambu,Gatundu,      Gatundu District Hospital,Igegania Health Centre,10338,12.4,MoH,314,0,314,1
3,3,Kiambu,Gatundu,      Gatundu District Hospital,Gachika Dispensary,10195,22,MoH,0,0,0,0
4,4,Kiambu,Gatundu,      Gatundu District Hospital,Gitare Dispensary (Gatundu),10257,13.1,MoH,32,0,32,0
5,5,Kiambu,Gatundu,      Gatundu District Hospital,Karatu Health Centre,10489,13.1,MoH,38,0,38,0
6,6,Kiambu,Gatundu,      Gatundu District Hospital,Kiganjo Dispensary,10581,10,MoH,0,0,0,0
7,7,Kiambu,Gatundu,      Gatundu District Hospital,Munyu-ini Dispensary,10776,13,MoH,0,0,0,0
8,8,Kiambu,Gatundu,      Gatundu District Hospital,Ngenda Health Centre,10864,6,MoH,109,0,109,0
9,9,Kiambu,Gatundu,      Gatundu District Hospital,Gachege Dispensary,10194,23.8,MoH,45,0,45,0
10,10,Kiambu,Gatundu,      Gatundu District Hospital,Gakoe Dispensary,10202,28.8,MoH,91,0,91,0
11,11,Kiambu,Gatundu,      Gatundu District Hospital,Kieni Dispensary (Gatundu),10580,13,MoH,0,0,0,0
12,12,Kiambu,Gatundu,      Gatundu District Hospital,Mataara Dispensary,10703,27,MoH,0,0,0,0
13,13,Kiambu,Gatundu,      Gatundu District Hospital,Mbici Dispensary,10711,13,MoH,0,0,0,0
14,14,Kiambu,Gatundu,      Gatundu District Hospital,Ngorongo Health Centre,10872,25.2,MoH,108,0,108,0
15,15,Kiambu,Kiambu,Kiambu District Hospital,,10539,0,MoH,2126,6347,8473,3
16,16,Kiambu,Kiambu,      Kiambu District Hospital,Kigumo Health Centre,10587,27.4,MoH,290,579,869,1
17,17,Kiambu,Kiambu,      Kiambu District Hospital,GK Prisons Dispensary,14523,1,MoH,0,0,0,0
18,18,Kiambu,Kiambu,      Kiambu District Hospital,Karuri Health Centre,10507,15,MoH,370,1035,1405,0
19,19,Kiambu,Kiambu,      Kiambu District Hospital,Kihara Sub-District Hospital,10591,19.6,MoH,162,719,881,0
20,20,Kiambu,Kiambu,      Kiambu District Hospital,Githiga Health Centre,10263,23.7,MoH,40,80,120,0
21,21,Kiambu,Kiambu,      Kiambu District Hospital,Githunguri Health Centre,10269,20.1,MoH,86,778,864,0
22,22,Kiambu,Kiambu,      Kiambu District Hospital,Karia Health Centre,10493,2.8,MoH,0,0,0,0
23,23,Kiambu,Kiambu,      Kiambu District Hospital,Ngewa Health Centre,10865,16.7,MoH,89,233,322,0
24,24,Kiambu,Kiambu,Tigoni District Hospital,,11104,0,MoH,911,2042,2953,3
25,25,Kiambu,Kiambu,      Tigoni District Hospital,Kinale Forest Dispensary,10613,30,MoH,0,0,0,0
26,26,Kiambu,Kiambu,      Tigoni District Hospital,Lari Health Centre,10655,19.9,MoH,216,610,826,0
27,27,Kiambu,Kiambu,      Tigoni District Hospital,Limuru Health Centre,10661,7.8,MoH,42,540,582,0
28,28,Kiambu,Kiambu,      Tigoni District Hospital,Lussigetti Health Centre,10666,29.4,MoH,0,0,0,0
29,29,Kiambu,Kiambu,      Tigoni District Hospital,Ndeiya Health Centre,10831,1.2,MoH,56,102,158,0
30,30,Kiambu,Kiambu,      Tigoni District Hospital,Nyathuna Health Centre,10895,18.7,MoH,33,54,87,0
31,31,Kiambu,Kiambu,      Tigoni District Hospital,Wangige Health Centre,11170,21.6,MoH,91,261,352,0
32,32,Kiambu,Kiambu,AIC Kijabe Mission Hosiptal,,10602,0,FBO,586,2769,3355,2
33,33,Kiambu,Kiambu,      AIC Kijabe Mission Hosiptal,Kijabe Hospital(Githunguri),10602,0,FBO,321,0,321,0
