Province,County,District
Eastern,Machakos,Athi River
Nyanza,Nyamira,Borabu
Nairobi,Nairobi,Embakasi
Rift Valley,Laikipia,Laikipia East
Central,Kiambu,Thika West
Rift Valley,Kajiado,Kajiado North
Rift Valley,Nakuru,Nakuru
Eastern,Isiolo,Isiolo
Nairobi,Nairobi,Langata
Rift Valley,Nakuru,Njoro
Rift Valley,Baringo,Baringo Central
Nairobi,Nairobi,Starehe
Nairobi,Nairobi,Westlands
Rift Valley,Uasin Gishu,Eldoret West
Nairobi,Nairobi,Kasarani
Coast,Mombasa,Mvita
Coast,Mombasa,Kisauni
North Eastern,Wajir,Habaswein
Nairobi,Nairobi,Dagoretti
Eastern,Makueni,Kibwezi
North Eastern,Garissa,Garissa
Central,Kirinyaga,Kirinyaga Central
Central,Nyeri,Nyeri South
Central,Muranga,Kigumo
Nyanza,Siaya,Rarieda
Western,Kakamega,Kakamega East (Shinyalu)
Western,Busia,Teso North
Eastern,Embu,Embu East
Central,Kiambu,Kiambu
Central,Nyeri,Nyeri Central
Coast,Taita Taveta,Voi
North Eastern,Wajir,Wajir North
Coast,Kilifi,Malindi
North Eastern,Wajir,Wajir West
Nyanza,Homa Bay,Rachuonyo North
Nyanza,Kisumu,Kisumu East
Eastern,Makueni,Nzaui
Eastern,Machakos,Machakos
Coast,Kilifi,Magarini
Rift Valley,West Pokot,West Pokot
North Eastern,Wajir,Wajir East
Nairobi,Nairobi,Kamukunji
North Eastern,Garissa,Lagdera
Central,Nyandarua,Kinangop
Central,Kirinyaga,Kirinyaga South
Eastern,Tharaka Nithi,Meru South
Eastern,Kitui,Mutomo 
Central,Kirinyaga,Kirinyaga North
Central,Kirinyaga,Kirinyaga East
Rift Valley,Turkana,Turkana Central
Coast,Taita Taveta,Wundanyi
Rift Valley,Kajiado,Kajiado Central
Central,Nyeri,Mukurweini
Eastern,Machakos,Matungulu
Central,Muranga,Mathioya
Central,Nyeri,Mathira East
Eastern,Meru,Imenti North
Rift Valley,Nakuru,Rongai
Central,Nyeri,Kieni East
Eastern,Marsabit,Moyale
Nairobi,Nairobi,Makadara
Nyanza,Homa Bay,Rachuonyo South
Nyanza,Migori,Nyatike
Western,Busia,Samia
Western,Vihiga,Hamisi
Central,Nyeri,Tetu
Central,Kiambu,Lari
Coast,Kilifi,Kaloleni
Nyanza,Kisumu,Nyando
Rift Valley,Nakuru,Nakuru North
Western,Kakamega,Mumias
Rift Valley,Kericho,Bureti
Eastern,Makueni,Mukaa
Rift Valley,Uasin Gishu,Eldoret East
Rift Valley,Kericho,Kericho
Coast,Mombasa,Changamwe
Rift Valley,Baringo,Baringo North
Eastern,Meru,Igembe South
